,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
304,2018-11-01,3302.2098026573494,1518.876493814897,4737.511620135315,3302.2098026573494,3302.2098026573494,-173.9149139683284,-173.9149139683284,-173.9149139683284,470.08220667408,470.08220667408,470.08220667408,22.480428330399274,22.480428330399274,22.480428330399274,-666.4775489728075,-666.4775489728075,-666.4775489728075,0.0,0.0,0.0,3128.294888689021
305,2018-11-02,3303.2778687264486,1324.276453617973,4706.066295254504,3303.2778687264486,3303.2778687264486,-256.7978029337336,-256.7978029337336,-256.7978029337336,470.08220667408,470.08220667408,470.08220667408,-34.578777639737126,-34.578777639737126,-34.578777639737126,-692.3012319680764,-692.3012319680764,-692.3012319680764,0.0,0.0,0.0,3046.480065792715
306,2018-11-03,3304.3459347955477,1590.1499287523625,4530.511416102617,3304.3459347955477,3304.3459347955477,-262.0448834201369,-262.0448834201369,-262.0448834201369,470.08220667408,470.08220667408,470.08220667408,-14.020271530661198,-14.020271530661198,-14.020271530661198,-718.1068185635556,-718.1068185635556,-718.1068185635556,0.0,0.0,0.0,3042.3010513754107
307,2018-11-04,3305.4140008646473,1558.3785152693717,4636.273864571072,3305.4140008646473,3305.4140008646473,-249.17967336448618,-249.17967336448618,-249.17967336448618,470.08220667408,470.08220667408,470.08220667408,25.18514355150842,25.18514355150842,25.18514355150842,-744.4470235900745,-744.4470235900745,-744.4470235900745,0.0,0.0,0.0,3056.2343275001613
308,2018-11-05,3306.482066933746,1339.8085493986414,4641.507265868693,3306.482066933746,3306.482066933746,-285.1161099772003,-285.1161099772003,-285.1161099772003,470.08220667408,470.08220667408,470.08220667408,16.62191150555323,16.62191150555323,16.62191150555323,-771.8202281568334,-771.8202281568334,-771.8202281568334,0.0,0.0,0.0,3021.3659569565457
309,2018-11-06,3307.550133002845,1314.807961237962,4500.618699165548,3307.550133002845,3307.550133002845,-341.85466282549936,-341.85466282549936,-341.85466282549936,470.08220667408,470.08220667408,470.08220667408,-11.280458382712757,-11.280458382712757,-11.280458382712757,-800.6564111168666,-800.6564111168666,-800.6564111168666,0.0,0.0,0.0,2965.6954701773457
310,2018-11-07,3308.618199071944,1491.8771313029945,4649.385073757658,3308.618199071944,3308.618199071944,-365.63097537859204,-365.63097537859204,-365.63097537859204,470.08220667408,470.08220667408,470.08220667408,-4.407975834465874,-4.407975834465874,-4.407975834465874,-831.3052062182062,-831.3052062182062,-831.3052062182062,0.0,0.0,0.0,2942.987223693352
311,2018-11-08,3309.6862651410434,1344.2928338895583,4498.223582056197,3309.6862651410434,3309.6862651410434,-371.4637601468259,-371.4637601468259,-371.4637601468259,470.08220667408,470.08220667408,470.08220667408,22.480428330377666,22.480428330377666,22.480428330377666,-864.0263951512833,-864.0263951512833,-864.0263951512833,0.0,0.0,0.0,2938.2225049942176
312,2018-11-09,3310.7543313840515,1351.3562850095634,4419.365589833746,3310.7543313840515,3310.7543313840515,-463.4796463104806,-463.4796463104806,-463.4796463104806,470.08220667408,470.08220667408,470.08220667408,-34.578777639755735,-34.578777639755735,-34.578777639755735,-898.9830753448047,-898.9830753448047,-898.9830753448047,0.0,0.0,0.0,2847.274685073571
313,2018-11-10,3311.82239762706,1243.0103256603031,4448.445270269944,3311.82239762706,3311.82239762706,-480.1757285842098,-480.1757285842098,-480.1757285842098,470.08220667408,470.08220667408,470.08220667408,-14.020271530590806,-14.020271530590806,-14.020271530590806,-936.2376637276991,-936.2376637276991,-936.2376637276991,0.0,0.0,0.0,2831.64666904285
314,2018-11-11,3312.890463870068,1165.281378285283,4481.793023051842,3312.890463870068,3312.890463870068,-480.4834658094047,-480.4834658094047,-480.4834658094047,470.08220667408,470.08220667408,470.08220667408,25.185143551549288,25.185143551549288,25.185143551549288,-975.7508160350338,-975.7508160350338,-975.7508160350338,0.0,0.0,0.0,2832.406998060663
315,2018-11-12,3313.9585301130764,1259.4827274665179,4307.828666110377,3313.9585301130764,3313.9585301130764,-530.6791397844548,-530.6791397844548,-530.6791397844548,470.08220667408,470.08220667408,470.08220667408,16.621911505524785,16.621911505524785,16.621911505524785,-1017.3832579640596,-1017.3832579640596,-1017.3832579640596,0.0,0.0,0.0,2783.2793903286215
316,2018-11-13,3315.026596356084,1065.9230839116644,4446.259170514083,3315.026596356084,3315.026596356084,-602.098693706709,-602.098693706709,-602.098693706709,470.08220667408,470.08220667408,470.08220667408,-11.280458382762706,-11.280458382762706,-11.280458382762706,-1060.9004419980263,-1060.9004419980263,-1060.9004419980263,0.0,0.0,0.0,2712.927902649375
317,2018-11-14,3316.0946625990923,1163.256241623804,4290.057370971985,3316.0946625990923,3316.0946625990923,-640.3056335321555,-640.3056335321555,-640.3056335321555,470.08220667408,470.08220667408,470.08220667408,-4.407975834448932,-4.407975834448932,-4.407975834448932,-1105.9798643717866,-1105.9798643717866,-1105.9798643717866,0.0,0.0,0.0,2675.7890290669366
318,2018-11-15,3317.1627288421005,1033.02618775251,4287.077491057334,3317.1627288421005,3317.1627288421005,-659.6581677370716,-659.6581677370716,-659.6581677370716,470.08220667408,470.08220667408,470.08220667408,22.480428330356055,22.480428330356055,22.480428330356055,-1152.220802741508,-1152.220802741508,-1152.220802741508,0.0,0.0,0.0,2657.504561105029
319,2018-11-16,3318.2307950851086,1057.3017715534356,4185.72793316784,3318.2307950851086,3318.2307950851086,-763.6527396854592,-763.6527396854592,-763.6527396854592,470.08220667408,470.08220667408,470.08220667408,-34.578777639798794,-34.578777639798794,-34.578777639798794,-1199.1561687197404,-1199.1561687197404,-1199.1561687197404,0.0,0.0,0.0,2554.578055399649
320,2018-11-17,3319.298861328117,979.7133070378027,4142.234640127164,3319.298861328117,3319.298861328117,-790.2041772911973,-790.2041772911973,-790.2041772911973,470.08220667408,470.08220667408,470.08220667408,-14.020271530658473,-14.020271530658473,-14.020271530658473,-1246.266112434619,-1246.266112434619,-1246.266112434619,0.0,0.0,0.0,2529.0946840369197
321,2018-11-18,3320.366927571125,846.8839999632022,4197.257545877669,3320.366927571125,3320.366927571125,-797.7256200077932,-797.7256200077932,-797.7256200077932,470.08220667408,470.08220667408,470.08220667408,25.185143551521307,25.185143551521307,25.185143551521307,-1292.9929702333945,-1292.9929702333945,-1292.9929702333945,0.0,0.0,0.0,2522.641307563332
322,2018-11-19,3321.4349938141327,753.4022379946562,4015.8593295734395,3321.4349938141327,3321.4349938141327,-852.0529946595591,-852.0529946595591,-852.0529946595591,470.08220667408,470.08220667408,470.08220667408,16.621911505545864,16.621911505545864,16.621911505545864,-1338.757112839185,-1338.757112839185,-1338.757112839185,0.0,0.0,0.0,2469.3819991545734
323,2018-11-20,3322.5030600571413,795.8562838894231,4010.1791025873235,3322.5030600571413,3322.5030600571413,-924.1714822818395,-924.1714822818395,-924.1714822818395,470.08220667408,470.08220667408,470.08220667408,-11.280458382682244,-11.280458382682244,-11.280458382682244,-1382.9732305732373,-1382.9732305732373,-1382.9732305732373,0.0,0.0,0.0,2398.331577775302
324,2018-11-21,3323.571126300149,750.7408086051822,3959.244638150532,3323.571126300149,3323.571126300149,-959.3923543230027,-959.3923543230027,-959.3923543230027,470.08220667408,470.08220667408,470.08220667408,-4.407975834397779,-4.407975834397779,-4.407975834397779,-1425.0665851626852,-1425.0665851626852,-1425.0665851626852,0.0,0.0,0.0,2364.1787719771464
325,2018-11-22,3324.639192543157,821.5425268288818,4031.4593901070602,3324.639192543157,3324.639192543157,-971.9261292724061,-971.9261292724061,-971.9261292724061,470.08220667408,470.08220667408,470.08220667408,22.480428330393266,22.480428330393266,22.480428330393266,-1464.4887642768797,-1464.4887642768797,-1464.4887642768797,0.0,0.0,0.0,2352.7130632707513
326,2018-11-23,3325.7072587861653,723.6362220187294,3863.9496474954767,3325.7072587861653,3325.7072587861653,-1065.2290659192133,-1065.2290659192133,-1065.2290659192133,470.08220667408,470.08220667408,470.08220667408,-34.578777639726376,-34.578777639726376,-34.578777639726376,-1500.7324949535673,-1500.7324949535673,-1500.7324949535673,0.0,0.0,0.0,2260.4781928669518
327,2018-11-24,3326.7753250291735,657.3796504032206,3766.113870341375,3326.7753250291735,3326.7753250291735,-1077.2831696582284,-1077.2831696582284,-1077.2831696582284,470.08220667408,470.08220667408,470.08220667408,-14.02027153063758,-14.02027153063758,-14.02027153063758,-1533.3451048016714,-1533.3451048016714,-1533.3451048016714,0.0,0.0,0.0,2249.492155370945
328,2018-11-25,3327.843391272182,672.2811234467247,3917.502345854988,3327.843391272182,3327.843391272182,-1066.672914006338,-1066.672914006338,-1066.672914006338,470.08220667408,470.08220667408,470.08220667408,25.18514355155804,25.18514355155804,25.18514355155804,-1561.9402642319762,-1561.9402642319762,-1561.9402642319762,0.0,0.0,0.0,2261.170477265844
329,2018-11-26,3328.91145751519,606.3210680521947,3799.467818671064,3328.91145751519,3328.91145751519,-1099.5035793826717,-1099.5035793826717,-1099.5035793826717,470.08220667408,470.08220667408,470.08220667408,16.62191150556694,16.62191150556694,16.62191150556694,-1586.207697562319,-1586.207697562319,-1586.207697562319,0.0,0.0,0.0,2229.407878132518
330,2018-11-27,3329.979523758198,603.0531796238437,3831.200583428448,3329.979523758198,3329.979523758198,-1147.1188656990369,-1147.1188656990369,-1147.1188656990369,470.08220667408,470.08220667408,470.08220667408,-11.280458382714261,-11.280458382714261,-11.280458382714261,-1605.9206139904034,-1605.9206139904034,-1605.9206139904034,0.0,0.0,0.0,2182.8606580591613
331,2018-11-28,3331.047590001206,531.4814127164146,3696.5332257749437,3331.047590001206,3331.047590001206,-1155.2664483344154,-1155.2664483344154,-1155.2664483344154,470.08220667408,470.08220667408,470.08220667408,-4.407975834448934,-4.407975834448934,-4.407975834448934,-1620.9406791740469,-1620.9406791740469,-1620.9406791740469,0.0,0.0,0.0,2175.781141666791
332,2018-11-29,3332.1156562442143,538.8570590751583,3695.8728743964166,3332.1156562442143,3332.1156562442143,-1138.6577873984565,-1138.6577873984565,-1138.6577873984565,470.08220667408,470.08220667408,470.08220667408,22.48042833037166,22.48042833037166,22.48042833037166,-1631.2204224029088,-1631.2204224029088,-1631.2204224029088,0.0,0.0,0.0,2193.4578688457577
333,2018-11-30,3333.1837224872224,520.0527956076501,3739.2464252764134,3333.1837224872224,3333.1837224872224,-1201.2996218175795,-1201.2996218175795,-1201.2996218175795,470.08220667408,470.08220667408,470.08220667408,-34.578777639678414,-34.578777639678414,-34.578777639678414,-1636.8030508519814,-1636.8030508519814,-1636.8030508519814,0.0,0.0,0.0,2131.884100669643
334,2018-12-01,3334.2517887302306,568.0679392000262,3837.749509452859,3334.2517887302306,3334.2517887302306,-1181.757783737314,-1181.757783737314,-1181.757783737314,470.08220667408,470.08220667408,470.08220667408,-14.02027153061669,-14.02027153061669,-14.02027153061669,-1637.8197188807778,-1637.8197188807778,-1637.8197188807778,0.0,0.0,0.0,2152.4940049929164
335,2018-12-02,3335.3198549732383,599.5175920540141,3767.5097232582384,3335.3198549732383,3335.3198549732383,-1139.2170243088274,-1139.2170243088274,-1139.2170243088274,470.08220667408,470.08220667408,470.08220667408,25.185143551530054,25.185143551530054,25.185143551530054,-1634.4843745344378,-1634.4843745344378,-1634.4843745344378,0.0,0.0,0.0,2196.102830664411
336,2018-12-03,3336.387921216247,541.7598117628188,3801.8777651656583,3336.387921216247,3336.387921216247,-1140.3822569350114,-1140.3822569350114,-1140.3822569350114,470.08220667408,470.08220667408,470.08220667408,16.62191150553849,16.62191150553849,16.62191150553849,-1627.0863751146303,-1627.0863751146303,-1627.0863751146303,0.0,0.0,0.0,2196.0056642812356
337,2018-12-04,3337.4559874592546,622.8698533618975,3727.0689199444273,3337.4559874592546,3337.4559874592546,-1157.1793786041897,-1157.1793786041897,-1157.1793786041897,470.08220667408,470.08220667408,470.08220667408,-11.280458382651734,-11.280458382651734,-11.280458382651734,-1615.9811268956182,-1615.9811268956182,-1615.9811268956182,0.0,0.0,0.0,2180.276608855065
338,2018-12-05,3338.5240537022632,552.9859619706112,3702.8333140424093,3338.5240537022632,3338.5240537022632,-1135.9048280978036,-1135.9048280978036,-1135.9048280978036,470.08220667408,470.08220667408,470.08220667408,-4.407975834431994,-4.407975834431994,-4.407975834431994,-1601.5790589374517,-1601.5790589374517,-1601.5790589374517,0.0,0.0,0.0,2202.6192256044596
339,2018-12-06,3339.592119945271,569.6291747357757,3708.754296165328,3339.592119945271,3339.592119945271,-1091.7706509311863,-1091.7706509311863,-1091.7706509311863,470.08220667408,470.08220667408,470.08220667408,22.48042833035545,22.48042833035545,22.48042833035545,-1584.3332859356224,-1584.3332859356224,-1584.3332859356224,0.0,0.0,0.0,2247.821469014085
340,2018-12-07,3340.660186188279,565.4338332337417,3727.1132596842635,3340.660186188279,3340.660186188279,-1129.2229198509865,-1129.2229198509865,-1129.2229198509865,470.08220667408,470.08220667408,470.08220667408,-34.578777639697016,-34.578777639697016,-34.578777639697016,-1564.7263488853698,-1564.7263488853698,-1564.7263488853698,0.0,0.0,0.0,2211.4372663372924
341,2018-12-08,3341.7282524312877,803.6179187182471,3801.5816759241634,3341.7282524312877,3341.7282524312877,-1087.1945089768324,-1087.1945089768324,-1087.1945089768324,470.08220667408,470.08220667408,470.08220667408,-14.020271530634858,-14.020271530634858,-14.020271530634858,-1543.2564441202778,-1543.2564441202778,-1543.2564441202778,0.0,0.0,0.0,2254.5337434544554
342,2018-12-09,3342.7963186742954,775.8627133771379,3875.4379918536138,3342.7963186742954,3342.7963186742954,-1025.1562102514727,-1025.1562102514727,-1025.1562102514727,470.08220667408,470.08220667408,470.08220667408,25.1851435515062,25.1851435515062,25.1851435515062,-1520.4235604770593,-1520.4235604770593,-1520.4235604770593,0.0,0.0,0.0,2317.640108422823
343,2018-12-10,3343.864384917304,653.7531476343739,3826.979962466786,3343.864384917304,3343.864384917304,-1010.0118225794539,-1010.0118225794539,-1010.0118225794539,470.08220667408,470.08220667408,470.08220667408,16.621911505559567,16.621911505559567,16.621911505559567,-1496.7159407590937,-1496.7159407590937,-1496.7159407590937,0.0,0.0,0.0,2333.85256233785
344,2018-12-11,3344.9324511603118,721.8221648515977,4051.9864757643513,3344.9324511603118,3344.9324511603118,-1013.7955192865339,-1013.7955192865339,-1013.7955192865339,470.08220667408,470.08220667408,470.08220667408,-11.28045838270168,-11.28045838270168,-11.28045838270168,-1472.5972675779126,-1472.5972675779126,-1472.5972675779126,0.0,0.0,0.0,2331.136931873778
345,2018-12-12,3346.0005174033195,823.9883530427932,4011.243645388168,3346.0005174033195,3346.0005174033195,-982.820714776176,-982.820714776176,-982.820714776176,470.08220667408,470.08220667408,470.08220667408,-4.407975834415052,-4.407975834415052,-4.407975834415052,-1448.4949456158408,-1448.4949456158408,-1448.4949456158408,0.0,0.0,0.0,2363.1798026271435
346,2018-12-13,3347.0685842946064,763.5001993975228,4049.5899547052545,3347.0685842946064,3347.0685842946064,-932.2271783567145,-932.2271783567145,-932.2271783567145,470.08220667408,470.08220667408,470.08220667408,22.48042833033384,22.48042833033384,22.48042833033384,-1424.7898133611286,-1424.7898133611286,-1424.7898133611286,0.0,0.0,0.0,2414.841405937892
